query_id	all_nMatch	diffExprds_nMatch
GSE105194_spinal_cord_40kb_TCGAlgg_IDHwt_IDHmutnc_chr1_TAD251	9	7
GSE105194_spinal_cord_40kb_TCGAlgg_IDHwt_IDHmutnc_chr7_TAD52	9	7
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_neural_chr7_TAD43	9	7
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr1_TAD150	9	7
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr1_TAD208	9	7
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr7_TAD43	9	7
GSE105318_DLD1_40kb_TCGAcoad_msi_mss_chr1_TAD197	9	9
K562_40kb_TCGAlaml_wt_mutFLT3_chr7_TAD64	9	9
K562_40kb_TCGAlaml_wt_mutFLT3_chr7_TAD65	9	9
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chrX_TAD238	9	8
ENCSR079VIJ_G401_40kb_TCGAkich_norm_kich_chr1_TAD274	7	6
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr7_TAD95	7	5
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr7_TAD95	7	6
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr7_TAD67	7	5
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr7_TAD67	7	6
GSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr20_TAD123	7	6
GSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr7_TAD108	7	5
GSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr20_TAD123	7	6
GSE105194_spinal_cord_40kb_TCGAgbm_classical_proneural_chr7_TAD102	7	5
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr20_TAD100	7	6
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr20_TAD100	7	7
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr7_TAD84	7	5
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr7_TAD98	7	5
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutBRAF_chr1_TAD324	6	5
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutCTNNB1_chr20_TAD102	6	5
ENCSR444WCZ_A549_40kb_TCGAlusc_norm_lusc_chr2_TAD286	6	6
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr1_TAD259	6	5
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutCTNNB1_chr20_TAD130	6	5
GSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr1_TAD278	6	4
GSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr1_TAD299	6	4
GSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr2_TAD325	6	4
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr1_TAD273	6	4
GSE105194_spinal_cord_40kb_TCGAlgg_IDHwt_IDHmutnc_chr20_TAD115	6	5
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr1_TAD209	6	4
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr1_TAD225	6	4
GSE105318_DLD1_40kb_TCGAcoad_msi_mss_chr1_TAD303	6	6
GSE105381_HepG2_40kb_TCGAlihc_wt_mutCTNNB1_chr1_TAD332	6	6
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr6_TAD72	5	5
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutBRAF_chr1_TAD299	5	5
ENCSR346DCU_LNCaPGSE73782_PC3_40kb_TCGAprad_norm_prad_chr12_TAD62	5	5
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr1_TAD246	5	4
ENCSR444WCZ_A549_40kb_TCGAluad_nonsmoker_smoker_chr1_TAD246	5	5
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr1_TAD246	5	3
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr10_TAD130	5	3
ENCSR444WCZ_A549_40kb_TCGAlusc_norm_lusc_chr10_TAD130	5	3
ENCSR444WCZ_A549_40kb_TCGAlusc_norm_lusc_chr2_TAD391	5	3
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr1_TAD169	5	4
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr1_TAD169	5	3
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr10_TAD91	5	3
ENCSR444WCZ_A549NCI-H460_40kb_TCGAlusc_norm_lusc_chr10_TAD91	5	3
ENCSR444WCZ_A549NCI-H460_40kb_TCGAlusc_norm_lusc_chr2_TAD273	5	3
GSE105318_DLD1_40kb_TCGAcoad_msi_mss_chr12_TAD110	5	5
GSE105381_HepG2_40kb_TCGAlihc_wt_mutCTNNB1_chr2_TAD441	5	5
GSE73782_PC3_40kb_TCGAprad_norm_prad_chr2_TAD375	5	5
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr1_TAD268	5	3
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr10_TAD134	5	3
NCI-H460_40kb_TCGAlusc_norm_lusc_chr10_TAD134	5	3
NCI-H460_40kb_TCGAlusc_norm_lusc_chr2_TAD424	5	3
Panc1_rep12_40kb_TCGApaad_wt_mutKRAS_chr2_TAD372	5	5
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr17_TAD78	4	4
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr19_TAD99	4	2
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr7_TAD319	4	3
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutBRAF_chr7_TAD319	4	4
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr19_TAD53	4	2
ENCSR346DCU_LNCaP_40kb_TCGAprad_norm_prad_chr11_TAD12	4	NA
ENCSR346DCU_LNCaP_40kb_TCGAprad_norm_prad_chr17_TAD73	4	1
ENCSR346DCU_LNCaPGSE73782_PC3_40kb_TCGAprad_norm_prad_chr11_TAD6	4	NA
ENCSR346DCU_LNCaPGSE73782_PC3_ICE_40kb_TCGAprad_norm_prad_chr11_TAD3	4	NA
ENCSR346DCU_LNCaPGSE73782_PC3_ICE_40kb_TCGAprad_norm_prad_chr17_TAD30	4	1
ENCSR401TBQ_Caki2_40kb_TCGAkich_norm_kich_chr7_TAD240	4	4
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr19_TAD110	4	3
ENCSR444WCZ_A549_40kb_TCGAluad_nonsmoker_smoker_chr10_TAD11	4	2
ENCSR444WCZ_A549_40kb_TCGAluad_nonsmoker_smoker_chr17_TAD84	4	4
ENCSR444WCZ_A549_40kb_TCGAlusc_norm_lusc_chr11_TAD179	4	2
ENCSR444WCZ_A549_40kb_TCGAlusc_norm_lusc_chr18_TAD106	4	2
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr12_TAD19	4	4
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr18_TAD65	4	3
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_nonsmoker_smoker_chr10_TAD7	4	2
ENCSR444WCZ_A549NCI-H460_40kb_TCGAlusc_norm_lusc_chr11_TAD114	4	2
ENCSR444WCZ_A549NCI-H460_40kb_TCGAlusc_norm_lusc_chr17_TAD52	4	4
ENCSR444WCZ_A549NCI-H460_40kb_TCGAlusc_norm_lusc_chr18_TAD65	4	2
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr12_TAD26	4	2
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr19_TAD108	4	2
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr2_TAD272	4	4
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr7_TAD252	4	3
GSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr17_TAD75	4	2
GSE105194_cerebellum_40kb_TCGAgbm_classical_neural_chr6_TAD66	4	3
GSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr6_TAD66	4	3
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr11_TAD186	4	3
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr17_TAD67	4	2
GSE105194_spinal_cord_40kb_TCGAgbm_classical_neural_chr10_TAD12	4	4
GSE105194_spinal_cord_40kb_TCGAgbm_classical_neural_chr2_TAD294	4	4
GSE105194_spinal_cord_40kb_TCGAgbm_classical_neural_chr20_TAD116	4	4
GSE105194_spinal_cord_40kb_TCGAlgg_IDHwt_IDHmutnc_chr2_TAD294	4	4
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr11_TAD150	4	3
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr17_TAD54	4	2
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_neural_chr6_TAD57	4	3
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr6_TAD57	4	3
GSE73782_PC3_40kb_TCGAprad_norm_prad_chr11_TAD10	4	NA
GSE73782_PC3_40kb_TCGAprad_norm_prad_chr17_TAD60	4	1
GSE73782_PC3_ICE_40kb_TCGAprad_norm_prad_chr11_TAD12	4	NA
GSE73782_PC3_ICE_40kb_TCGAprad_norm_prad_chr17_TAD63	4	1
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr10_TAD7	4	4
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr18_TAD102	4	3
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr19_TAD84	4	3
NCI-H460_40kb_TCGAluad_nonsmoker_smoker_chr10_TAD7	4	2
NCI-H460_40kb_TCGAluad_nonsmoker_smoker_chr12_TAD30	4	4
NCI-H460_40kb_TCGAlusc_norm_lusc_chr11_TAD172	4	2
NCI-H460_40kb_TCGAlusc_norm_lusc_chr18_TAD102	4	2
NCI-H460_40kb_TCGAlusc_norm_lusc_chr7_TAD253	4	4
Panc1_rep12_40kb_TCGApaad_wt_mutKRAS_chr6_TAD55	4	4
ENCSR079VIJ_G401_40kb_TCGAkich_norm_kich_chr5_TAD5	3	2
ENCSR079VIJ_G401ENCSR401TBQ_Caki2_40kb_TCGAkich_norm_kich_chr5_TAD2	3	2
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutBRAF_chr16_TAD98	3	1
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutBRAF_chr5_TAD267	3	1
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutCTNNB1_chr19_TAD3	3	1
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr12_TAD22	3	3
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr12_TAD22	3	3
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr16_TAD54	3	1
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr5_TAD160	3	1
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutCTNNB1_chr19_TAD3	3	1
ENCSR346DCU_LNCaP_40kb_TCGAprad_norm_prad_chr1_TAD2	3	NA
ENCSR346DCU_LNCaPGSE73782_PC3_40kb_TCGAprad_norm_prad_chr1_TAD1	3	NA
ENCSR346DCU_LNCaPGSE73782_PC3_ICE_40kb_TCGAprad_norm_prad_chr1_TAD1	3	NA
ENCSR401TBQ_Caki2_40kb_TCGAkich_norm_kich_chr16_TAD85	3	3
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr20_TAD54	3	3
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr7_TAD42	3	3
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr9_TAD54	3	2
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr20_TAD54	3	2
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr4_TAD254	3	2
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr7_TAD42	3	1
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr9_TAD54	3	2
ENCSR444WCZ_A549_40kb_TCGAlusc_norm_lusc_chr18_TAD52	3	1
ENCSR444WCZ_A549_40kb_TCGAlusc_norm_lusc_chr7_TAD158	3	2
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_nonsmoker_smoker_chr4_TAD161	3	2
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr4_TAD161	3	2
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr7_TAD24	3	1
ENCSR444WCZ_A549NCI-H460_40kb_TCGAlusc_norm_lusc_chr12_TAD78	3	2
ENCSR444WCZ_A549NCI-H460_40kb_TCGAlusc_norm_lusc_chr18_TAD34	3	1
ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chr12_TAD112	3	2
ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chr18_TAD51	3	3
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr19_TAD18	3	3
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr16_TAD85	3	1
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr5_TAD217	3	1
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr5_TAD5	3	3
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutCTNNB1_chr19_TAD3	3	1
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutCTNNB1_chr5_TAD5	3	3
GSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr17_TAD70	3	1
GSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr19_TAD23	3	1
GSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr12_TAD120	3	1
GSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr7_TAD178	3	2
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr17_TAD63	3	1
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr19_TAD15	3	1
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr19_TAD3	3	3
GSE105194_spinal_cord_40kb_TCGAgbm_classical_proneural_chr12_TAD109	3	1
GSE105194_spinal_cord_40kb_TCGAgbm_classical_proneural_chr2_TAD295	3	1
GSE105194_spinal_cord_40kb_TCGAgbm_classical_proneural_chr7_TAD162	3	2
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr12_TAD92	3	3
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr17_TAD50	3	1
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr19_TAD11	3	1
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr12_TAD92	3	1
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr2_TAD237	3	1
GSE105318_DLD1_40kb_TCGAcoad_msi_mss_chr17_TAD63	3	3
GSE105381_HepG2_40kb_TCGAlihc_wt_mutCTNNB1_chr5_TAD275	3	3
GSE73782_PC3_ICE_40kb_TCGAprad_norm_prad_chr1_TAD1	3	NA
MCF-7_40kb_TCGAbrca_lum_bas_chr12_TAD83	3	2
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr9_TAD52	3	2
NCI-H460_40kb_TCGAluad_nonsmoker_smoker_chr20_TAD57	3	3
NCI-H460_40kb_TCGAluad_nonsmoker_smoker_chr4_TAD259	3	2
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr20_TAD57	3	2
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr7_TAD44	3	1
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr9_TAD52	3	2
NCI-H460_40kb_TCGAlusc_norm_lusc_chr12_TAD111	3	2
NCI-H460_40kb_TCGAlusc_norm_lusc_chr18_TAD50	3	1
NCI-H460_40kb_TCGAlusc_norm_lusc_chr7_TAD158	3	2
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr1_TAD314	2	NA
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr1_TAD316	2	NA
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr12_TAD28	2	NA
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr19_TAD100	2	NA
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutBRAF_chr19_TAD62	2	NA
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutBRAF_chr7_TAD225	2	NA
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutBRAF_chr8_TAD209	2	1
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr1_TAD184	2	NA
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr1_TAD186	2	NA
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr12_TAD21	2	NA
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr19_TAD54	2	NA
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr19_TAD35	2	NA
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr7_TAD136	2	NA
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutCTNNB1_chr16_TAD2	2	1
ENCSR346DCU_LNCaP_40kb_TCGAprad_norm_prad_chr15_TAD46	2	NA
ENCSR401TBQ_Caki2_40kb_TCGAkich_norm_kich_chr1_TAD239	2	1
ENCSR401TBQ_Caki2_40kb_TCGAkich_norm_kich_chr8_TAD168	2	2
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr11_TAD231	2	1
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr16_TAD95	2	NA
